,player_name,kills,deaths,wins,losess,xp,headshots,melee_kills,games_played,time_played
2874,EI_YONKY_FUMAO,2550,2125,293,210,6446964,961,44,503,160
2875,SK-Toxic-TR,23305,16641,2343,1675,55004159,8620,99,4018,1276
2876,Black_Meth67,28297,25882,3418,2837,80869561,11361,373,6255,2082
2877,vasco_astro,11211,10807,1514,1178,31026691,3839,301,2692,772
2878,HeiIVapor,13661,11443,1553,1258,32287681,4280,410,2811,866
2879,odinodinson,28865,26068,3545,2953,77393174,10968,301,6498,2001
2880,ViPeR_NoMercy,11671,9131,1340,944,32306428,4241,355,2284,697
2881,NOTzRevxnge-,23362,22127,3172,2940,62709135,8390,361,6112,1735
2882,winicyus123,28741,23333,2977,2405,77220825,12643,372,5382,1739
2883,LordOfNothing5,16236,10818,2184,1328,43169277,6627,140,3512,1012
2884,AGVxrt,36833,33714,4228,3160,83829307,14367,826,7388,2256
2885,lUltra-,9377,6218,1290,795,22767843,3274,181,2085,588
2886,ruff0226,9892,9984,1365,1224,22720990,4348,305,2589,659
2887,Justinus-,26021,16712,2653,1910,59906767,10318,165,4563,1478
2888,zBlackCloud,12769,9173,1869,646,37565201,4873,21,2515,802
2889,Vurplus,21608,17130,2574,1891,58602070,8240,532,4465,1254
2890,ArcticSpeedster,17865,15333,2107,1659,47170381,7685,375,3766,1158
2891,DOPE-XFZ,15736,12506,1736,1292,36825442,6741,324,3028,912
2892,MrSnowDown,18732,19981,2276,2080,59189547,8683,717,4356,1371
2893,AzLaite,24000,13372,2632,1589,54607483,8142,1375,4221,1191
2894,vSeeGxme__,15463,14884,2355,1920,40954361,5375,192,4275,1176
2895,Beaulo-NS,23391,23580,2789,2467,65166619,9181,401,5256,1695
2896,Consjder,33619,26125,3534,2873,84073224,14025,285,6407,1799
2897,moonplayers,15381,12320,1678,1350,36014193,6416,431,3028,866
2898,Razarekt_27,8550,6290,948,750,21673706,3228,152,1698,476
2899,xGoku_La_D,22161,18575,3240,2365,57966441,8603,363,5605,1474
2900,Ampaio,18191,14386,1940,1247,41216248,8114,176,3187,953
2901,Dxchi-,16502,13855,2104,1568,44385896,5271,185,3672,1040
2902,xKingRegan,33608,24852,3392,2646,80635744,14569,562,6038,2001
2903,WaZz-_Demon,30417,19617,3220,2096,73512070,11605,303,5316,1748
2904,zKrxptiq,17865,16967,2200,1766,46525399,6315,860,3966,1193
2905,BT-eyweqst,5648,4485,712,421,15078778,1996,211,1133,334
2906,beetoven-_-wz,25730,23534,3135,2380,73520351,10412,315,5515,1746
2907,xReaLyyy,20035,16935,2267,1487,54523190,9809,213,3754,1222
2908,esmipy,20374,17954,2284,1756,56774429,6821,349,4040,1364
2909,xEL7GE-9,8105,7154,963,769,22136029,3341,120,1732,540
2910,notFlxsh-,35487,27817,4638,2503,103555007,12263,952,7141,2316
2911,IIVixlentz-,39595,37327,4595,4223,104907034,14374,689,8818,2638
2912,Bladey-Poo,16593,10449,2680,873,39828461,6557,239,3553,908
2913,MrMeeseeks_c,22493,16491,2612,1878,57828014,7427,670,4490,1256
2914,zarionisbipolar,2389,1866,263,198,6252225,962,32,461,152
2915,CloudyNektaar-,3850,2632,395,217,7996234,1596,61,612,185
2916,DissLiked,29310,17537,3897,2027,80471644,11147,549,5924,1732
2917,SoDriftLo,21938,16886,2262,1753,55564077,7830,401,4015,1279
2918,mts5005,16205,14959,2179,1601,41991104,7800,311,3780,1089
2919,CopYoBxcth-,7699,6752,866,764,24260160,2668,84,1630,550
